Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,17168.001953,18318.531250,16398.136719,16547.496094,16547.496094,541356716034
2023-01-01,16547.914063,23919.890625,16521.234375,23139.283203,23139.283203,690994018045
2023-02-01,23137.835938,25134.117188,21460.087891,23147.353516,23147.353516,723968574897
2023-03-01,23150.929688,29159.902344,19628.253906,28478.484375,28478.484375,883299703608
2023-04-01,28473.332031,31005.607422,27070.849609,29268.806641,29268.806641,511540319004
2023-05-01,29227.103516,29820.126953,25878.429688,27219.658203,27219.658203,443473015479
2023-06-01,27218.412109,31389.539063,24797.167969,30477.251953,30477.251953,481734214225
2023-07-01,30471.847656,31814.515625,28934.294922,29230.111328,29230.111328,382224489090
2023-08-01,29230.873047,30176.796875,25409.111328,25931.472656,25931.472656,437724169499
2023-09-01,25934.021484,27488.763672,24930.296875,26967.916016,26967.916016,337637313742
2023-10-01,26967.396484,35150.433594,26558.320313,34667.781250,34667.781250,476425634860
2023-11-01,34657.273438,35919.843750,34133.441406,35443.562500,35443.562500,114105099719
2023-11-09,35633.632813,36802.042969,35608.937500,36675.941406,36675.941406,23802931200
